Name,Release_season,Rating,Release_year,End_year
Bungo Stray Dogs Movie: Dead Apple,no data,4.22,2018,Ongoing
Major: World Series,no data,4.22,2011,2012
Overlord,Summer,4.22,2015,Ongoing
Shanhe Jian Xin,no data,4.22,2021,Ongoing
World Trigger 3rd Season,Fall ,4.22,2021,Ongoing
Nausicaa of the Valley of the Wind,no data,4.22,1984,Ongoing
Blue Spring Ride: Page.13,no data,4.22,2014,Ongoing
The Ancient Magus' Bride,Fall ,4.22,2017,2018
Hunter x Hunter OVA 2: Greed Island,no data,4.22,2003,Ongoing
Monster,Spring,4.22,2004,2005
Fullmetal Alchemist,Fall ,4.22,2003,2004
Kids on the Slope,Spring,4.22,2012,Ongoing
Assassination Classroom,Winter,4.22,2015,Ongoing
One Piece Film: Z,no data,4.22,2012,Ongoing
Hunter x Hunter,Fall ,4.22,1999,2001
Zoku Owarimonogatari,no data,4.22,2018,Ongoing
Komi Can't Communicate,Fall ,4.22,2021,Ongoing
A Place Further Than the Universe,Winter,4.22,2018,Ongoing
K-On! Movie,no data,4.22,2011,Ongoing
Major Season 2,Fall ,4.22,2005,2006
"Welcome to Demon School, Iruma-kun 2",Spring,4.21,2021,Ongoing
Great Pretender,Summer,4.21,2020,Ongoing
Fate/stay night: Unlimited Blade Works,Fall ,4.21,2014,Ongoing
"Haikyuu!! vs. ""Akaten""",no data,4.21,2015,Ongoing
Quanzhi Gaoshou 2,no data,4.21,2020,Ongoing
The Ancient Magus' Bride: Those Awaiting a Star,no data,4.21,2016,2017
Sword of the Stranger,no data,4.21,2007,Ongoing
KonoSuba – God's blessing on this wonderful world! 2,Winter,4.21,2017,Ongoing
Initial D Final Stage,Spring,4.21,2014,Ongoing
Cowboy Bebop: The Movie,no data,4.21,2001,Ongoing
Rainbow: Nisha Rokubou no Shichinin,Spring,4.21,2010,Ongoing
Wotakoi: Love is Hard for Otaku OVA,no data,4.21,2021,Ongoing
Major Season 1,Fall ,4.21,2004,2005
Mobile Suit Gundam: Iron-Blooded Orphans 2,Fall ,4.2,2016,2017
Major Season 4,Winter,4.2,2008,Ongoing
