Rank,Name,Japanese_name,Type,Episodes,Studio
34,Gintama.: Shirogane no Tamashii-hen 2, Gintama: Silver Soul Arc 2,TV   ,14,BN Pictures
35,Clannad After Story,,TV   ,24,Kyoto Animation
36,Mo Dao Zu Shi, The Founder of Diabolism,Web  ,15,B.C MAY PICTURES
37,Gintama': Enchousen,,TV   ,13,Sunrise
38,Banana Fish,,TV   ,24,MAPPA
39,Douluo Dalu 2, Soul Land 2,Web  ,16,Sparkly Key Animation Studio
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Gintama The Movie: The Final Chapter - Be Forever Yorozuya,Movie,no data,Sunrise
41,Gintama.,,TV   ,12,BN Pictures
42,Gintama.: Shirogane no Tamashii-hen, Gintama: Silver Soul Arc,TV   ,12,BN Pictures
43,Attack on Titan 3rd Season, Shingeki no Kyojin 3rd Season,TV   ,12,WIT Studio
44,Steins;Gate,,TV   ,24,WHITE FOX
45,Haikyuu!!,,TV   ,25,Production I.G
46,Gintama',,TV   ,51,Sunrise
47,One-Punch Man,,TV   ,12,MADHOUSE
48,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Kimetsu no Yaiba: Mugen Ressha-hen,TV   ,no data,ufotable
49,Gintama°,,TV   ,51,BN Pictures
50,Howl's Moving Castle, Howl no Ugoku Shiro,Movie,no data,Studio Ghibli
51,Natsume's Book of Friends Season 6, Natsume Yuujinchou Roku,TV   ,11,Shuka
52,JoJo's Bizarre Adventure: Golden Wind, JoJo no Kimyou na Bouken: Ougon no Kaze,TV   ,39,David Production
53,JoJo's Bizarre Adventure: Stone Ocean, Jojo no Kimyou na Bouken: Stone Ocean,Web  ,12,David Production
54,Vinland Saga,,TV   ,24,WIT Studio
55,Natsume's Book of Friends Season 4, Natsume Yuujinchou Shi,TV   ,13,Brain's Base
56,Assassination Classroom 2nd Season, Ansatsu Kyoushitsu 2nd Season,TV   ,25,Lerche
57,Natsume's Book of Friends Season 5, Natsume Yuujinchou Go,TV   ,11,Shuka
58,My Hero Academia 3, Boku no Hero Academia 3,TV   ,25,Bones
59,Violet Evergarden,,TV   ,13,Kyoto Animation
60,That Time I Got Reincarnated as a Slime, Tensei Shitara Slime Datta Ken,TV   ,24,8-Bit
61,My Hero Academia 2, Boku no Hero Academia 2,TV   ,25,Bones
62,Wolf Children, Ookami Kodomo no Ame to Yuki,Movie,no data,Studio Chizu
63,SK8 the Infinity,,TV   ,12,Bones
64,Hajime no Ippo: The Fighting!, Fighting Spirit,TV   ,75,MADHOUSE
65,Code Geass: Lelouch of the Rebellion, Code Geass: Hangyaku no Lelouch,TV   ,25,Sunrise
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt, JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV   ,24,David Production
67,Yona of the Dawn: Zeno Arc, Akatsuki no Yona: Zeno Arc,OVA  ,2,Pierrot
68,JoJo's Bizarre Adventure: Diamond is Unbreakable, JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV   ,39,David Production
69,Kamisama Kiss: Kako-hen, Kamisama Hajimemashita: Kako-hen,OVA  ,4,TMS Entertainment
